Question,Option 1,Option 2,Option 3,Correct
What is the difference between heat capacity and specific heat?,"Specific heat capacity is the amount of energy needed to raise the temperature of 1 kg of a substance by 1°C, while heat capacity is the energy needed to raise the temperature of a given sample by 1°C.","Specific heat is the energy needed to raise the temperature of 1 kg of a substance by 1°C, while heat capacity is for a given sample.",Both heat capacity and specific heat refer to the same concept,"Specific heat capacity is the amount of energy needed to raise the temperature of 1 kg of a substance by 1°C, while heat capacity is the energy needed to raise the temperature of a given sample by 1°C."
Which process transfers heat through the movement of fluids?,Conduction,Convection,Radiation,Convection
During which phase change does latent heat of fusion occur?,Liquid to gas,Solid to liquid,Gas to liquid,Solid to liquid
What is the formula for calculating the energy required to change the phase of a substance?,Q = mCΔT,Q = mL,Q = mRT,Q = mL
Which of the following statements is true about thermal radiation?,It requires a medium for heat transfer.,It can travel through a vacuum.,It only occurs in solids.,It can travel through a vacuum.
What happens to the entropy of a closed system over time?,It decreases.,It remains constant.,It increases,It increases
"In an adiabatic process, how much heat is exchanged with the surroundings?",No heat is exchanged.,Heat is absorbed from surroundings.,Heat is released to the surroundings,No heat is exchanged.
Which of the following best describes the first law of thermodynamics?,Energy can be created or destroyed.,The total energy of a system remains constant.,Entropy always decreases,The total energy of a system remains constant.
Which process has no change in volume?,Isochoric,Isobaric,Isothermal,Isochoric
How does thermal conduction occur?,By the movement of fluids.,By electromagnetic waves.,By transfer of energy from particle to particle,By transfer of energy from particle to particle
What is the role of the zeroth law of thermodynamics in temperature measurement?,It defines entropy.,It establishes temperature as a measurable property.,It describes heat flow in systems,It establishes temperature as a measurable property.
Which type of process occurs at a constant pressure?,Isochoric,Isobaric,Adiabatic,Isobaric
What is the main principle behind the operation of a refrigerator?,Latent heat of fusion,Latent heat of vaporization,Specific heat capacity,Latent heat of vaporization
What happens to the energy when a fluid vaporizes?,It releases latent heat.,It absorbs latent heat.,It retains the same energy,It absorbs latent heat.
How does the internal energy of an ideal gas change during an isothermal process?,It increases.,It decreases.,It remains constant,It remains constant
"In thermal expansion, which material property is denoted by 'α'?",Coefficient of linear expansion,Coefficient of volume expansion,Specific heat capacity,Coefficient of linear expansion
What kind of process is it when the entropy of a system remains constant?,Isothermal,Adiabatic,Isentropic,Isentropic
What causes a bimetallic strip to bend when heated?,Uniform expansion of both metals.,Different coefficients of thermal expansion.,Contraction of both metals,Different coefficients of thermal expansion.
Which of the following is an irreversible thermodynamic process?,Adiabatic process,Isentropic process,Real-world thermodynamic processes,Real-world thermodynamic processes
How is the rate of heat transfer through an insulator calculated?,By multiplying the surface area by temperature difference only.,"By considering surface area, temperature difference, and thermal conductivity.",By considering surface area only,"By considering surface area, temperature difference, and thermal conductivity."
